"Year","Variable","Value","Type"
2022,"Ind_Biofuels_and_waste",351601,"Actual"
2022,"Ind_Electricity",655694,"Actual"
2022,"Ind_Oil_and_oil_products",289652,"Actual"
2022,"RT_Oil_products",403739,"Actual"
2022,"RT_Natural_gas",4013,"Actual"
2022,"RT_Biofuels_and_waste",110768,"Actual"
2022,"RT_Electricity",428409,"Actual"
2022,"Kom_Oil_products",21195,"Actual"
2022,"Kom_Natural_gas",4248,"Actual"
2022,"Kom_Biofuels_and_waste",11373,"Actual"
2022,"Kom_Electricity",258357,"Actual"
2023,"Ind_Coal_and_coal_products",723422,"Actual"
2023,"Ind_Natural_gas",656281,"Actual"
2023,"Ind_Biofuels_and_waste",355785,"Actual"
2023,"Ind_Electricity",730823,"Actual"
2023,"Ind_Oil_and_oil_products",254161,"Actual"
2023,"RT_Oil_products",410428,"Actual"
2023,"RT_Natural_gas",5796,"Actual"
2023,"RT_Biofuels_and_waste",100362,"Actual"
2023,"RT_Electricity",452603,"Actual"
2023,"Kom_Oil_products",21227,"Actual"
2023,"Kom_Natural_gas",2012,"Actual"
2023,"Kom_Biofuels_and_waste",11938,"Actual"
2023,"Kom_Electricity",289429,"Actual"
2024,"Ind_Coal_and_coal_products",929690.479528197,"Forecast"
2024,"Ind_Natural_gas",637757.56647,"Forecast"
2024,"Ind_Biofuels_and_waste",372490.414865886,"Forecast"
2024,"Ind_Electricity",789962.18268094,"Forecast"
2024,"Ind_Oil_and_oil_products",184645.994542482,"Forecast"
2024,"RT_Oil_products",443024.428209899,"Forecast"
2024,"RT_Natural_gas",8068.95253769301,"Forecast"
2024,"RT_Biofuels_and_waste",104394.49516436,"Forecast"
2024,"RT_Electricity",475550.897840191,"Forecast"
2024,"Kom_Oil_products",20179.134304456,"Forecast"
2024,"Kom_Natural_gas",0,"Forecast"
2024,"Kom_Biofuels_and_waste",12965.6963194551,"Forecast"
2024,"Kom_Electricity",299325.937899688,"Forecast"
2025,"Ind_Coal_and_coal_products",1185883.98855239,"Forecast"
2025,"Ind_Natural_gas",675325.241370689,"Forecast"
2025,"Ind_Biofuels_and_waste",385330.078914322,"Forecast"
2025,"Ind_Electricity",885049.578285509,"Forecast"
2025,"Ind_Oil_and_oil_products",145147.361726291,"Forecast"
2025,"RT_Oil_products",469350.622243406,"Forecast"
2025,"RT_Natural_gas",11022.0039522045,"Forecast"
2025,"RT_Biofuels_and_waste",130180.187763564,"Forecast"
2025,"RT_Electricity",493512.940586481,"Forecast"
2025,"Kom_Oil_products",18170.6054963033,"Forecast"
2025,"Kom_Natural_gas",0,"Forecast"
2025,"Kom_Biofuels_and_waste",13895.0607534471,"Forecast"
2025,"Kom_Electricity",304708.183921243,"Forecast"
2026,"Ind_Coal_and_coal_products",1604905.2021341,"Forecast"
2026,"Ind_Natural_gas",636813.182318861,"Forecast"
2026,"Ind_Biofuels_and_waste",368668.479861963,"Forecast"
2026,"Ind_Electricity",999007.644277482,"Forecast"
2026,"Ind_Oil_and_oil_products",127069.654455945,"Forecast"
2026,"RT_Oil_products",480409.816250978,"Forecast"
2026,"RT_Natural_gas",14744.3657629184,"Forecast"
2026,"RT_Biofuels_and_waste",153725.232387417,"Forecast"
